 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1045,WH40P,0.003,9.180,23.449,9.180,23.449,0.148,1.000,0.074,100,9.154,23.423,135.000,0.052,1.000,1.000,1.000
1046,WH40P,0.014,16.293,23.511,16.293,23.511,0.417,1.000,0.168,100,16.236,23.580,38.660,0.131,1.147,0.872,0.933
1047,WH40P,0.005,20.982,24.163,20.982,24.163,0.260,0.898,0.117,100,20.931,24.184,26.565,0.074,1.668,0.600,0.778
1048,WH40P,0.028,13.224,24.362,13.224,24.362,0.640,0.866,0.262,100,13.115,24.446,36.870,0.167,1.729,0.578,0.863
1049,WH40P,0.015,10.337,24.637,10.337,24.637,0.454,0.922,0.191,100,10.308,24.551,105.945,0.105,1.620,0.617,0.898
1050,WH40P,0.005,21.225,24.721,21.225,24.721,0.223,1.000,0.095,100,21.193,24.682,123.690,0.079,1.069,0.936,0.875
1051,WH40P,0.036,8.698,25.163,8.698,25.163,0.819,0.671,0.378,100,8.603,24.997,123.690,0.153,2.826,0.354,0.867
1052,WH40P,0.013,19.416,25.130,19.416,25.130,0.417,0.944,0.176,100,19.331,25.154,26.565,0.105,1.656,0.604,0.884
1053,WH40P,0.006,10.042,25.328,10.042,25.328,0.260,1.000,0.117,100,9.993,25.364,26.565,0.079,1.340,0.746,0.857
1054,WH40P,0.041,14.400,25.532,14.400,25.532,1.109,0.422,0.473,100,14.348,25.311,109.440,0.184,3.345,0.299,0.674
1055,WH40P,0.023,8.912,25.431,8.912,25.431,0.587,0.853,0.262,100,8.813,25.338,143.130,0.146,2.052,0.487,0.840
1056,WH40P,0.003,15.053,25.372,15.053,25.372,0.201,1.000,0.095,100,15.030,25.416,56.310,0.052,1.553,0.644,0.909
1057,WH40P,0.003,17.896,25.833,17.896,25.833,0.185,1.000,0.095,100,17.862,25.862,33.690,0.052,1.553,0.644,0.909
1058,WH40P,0.012,15.043,25.954,15.043,25.954,0.371,1.000,0.153,100,14.977,25.993,30.964,0.111,1.385,0.722,0.850
